usageKey,scientificName,canonicalName,authorship,rank,code,status,genericName,infragenericEpithet,specificEpithet,type,formattedName,matchType,confidence,domain,kingdom,phylum,subphylum,class,order,suborder,family,subfamily,tribe,subtribe,genus,subgenus,species,domainKey,kingdomKey,phylumKey,subphylumKey,classKey,orderKey,suborderKey,familyKey,subfamilyKey,tribeKey,subtribeKey,genusKey,subgenusKey,speciesKey,value,easin_scientificName,easin_kingdom,easin_EASINID,easin_checklistKey,is_alternative,subclass,infraclass,subterclass,superorder,infraorder,superfamily,subclassKey,infraclassKey,subterclassKey,superorderKey,infraorderKey,superfamilyKey,subkingdom,subkingdomKey,infraspecificEpithet,variety,varietyKey,acceptedUsageKey,acceptedScientificName,infraphylum,parvphylum,gigaclass,superclass,infraphylumKey,parvphylumKey,gigaclassKey,superclassKey,megaclass,megaclassKey,section_botany,section_botanyKey,note,subspecies,subspeciesKey,processingFlags,series_zoology,series_zoologyKey,infrakingdom,infrakingdomKey,section_zoology,subsection_zoology,section_zoologyKey,subsection_zoologyKey,unranked,realm,unrankedKey,realmKey,parvorder,parvorderKey,epifamily,epifamilyKey,supertribe,supertribeKey,nanorder,nanorderKey,form,formKey,easin_Name,easin_Authorship,easin_FirstIntroductionsInEU,easin_PresentInCountries,easin_Status,easin_HasImpact,easin_IsEUConcern,easin_EUConcernName,easin_IsOutermostConcern,easin_ConcernedOutermostRegions,easin_IsMSConcern,easin_ConcernedMS,easin_IsPartNative,easin_NativeRange,easin_IsHorizonScanning,easin_LastRevisionDate,easin_Phylum,easin_Class,easin_Order,easin_Family,easin_ImpactSources,easin_ImpactOnSectors,easin_CommonNames,easin_Synonyms,easin_CBD_Pathways
63Z83,Abies nordmanniana (Steven) Spach,Abies nordmanniana,(Steven) Spach,SPECIES,BOTANICAL,ACCEPTED,Abies,,nordmanniana,SCIENTIFIC,<i>Abies</i> <i>nordmanniana</i> (Steven) Spach,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies nordmanniana,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,63Z83,FALSE,Abies nordmanniana (Steven) Spach,Plantae,R00013,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies nordmanniana,(Steven) Spach,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KFM,Abies pinsapo Boiss.,Abies pinsapo,Boiss.,SPECIES,BOTANICAL,ACCEPTED,Abies,,pinsapo,SCIENTIFIC,<i>Abies</i> <i>pinsapo</i> Boiss.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies pinsapo,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KFM,FALSE,Abies pinsapo Boiss.,Plantae,R00014,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies pinsapo,Boiss.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KFP,Abies procera Rehder,Abies procera,Rehder,SPECIES,BOTANICAL,ACCEPTED,Abies,,procera,SCIENTIFIC,<i>Abies</i> <i>procera</i> Rehder,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies procera,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KFP,FALSE,Abies procera Rehder,Plantae,R00015,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies procera,Rehder,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KG5,Abies sibirica Ledeb.,Abies sibirica,Ledeb.,SPECIES,BOTANICAL,ACCEPTED,Abies,,sibirica,SCIENTIFIC,<i>Abies</i> <i>sibirica</i> Ledeb.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies sibirica,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KG5,FALSE,Abies sibirica Ledeb.,Plantae,R00016,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies sibirica,Ledeb.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
63Z85,Abies veitchii Lindl.,Abies veitchii,Lindl.,SPECIES,BOTANICAL,ACCEPTED,Abies,,veitchii,SCIENTIFIC,<i>Abies</i> <i>veitchii</i> Lindl.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies veitchii,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,63Z85,FALSE,Abies veitchii Lindl.,Plantae,R00017,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies veitchii,Lindl.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8L46,"Ablennes hians (Valenciennes, 1846)",Ablennes hians,"(Valenciennes, 1846)",SPECIES,ZOOLOGICAL,ACCEPTED,Ablennes,,hians,SCIENTIFIC,"<i>Ablennes</i> <i>hians</i> (Valenciennes, 1846)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Beloniformes,,Belonidae,,,,Ablennes,,Ablennes hians,CS5HF,N,CH2,8V4V3,8V4VD,T6,,KTZ9Y,,,,KTZ54,,8L46,FALSE,"Ablennes hians (Valenciennes, 1846) ",Animalia,R20136,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ablennes hians,"(Valenciennes, 1846) ",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chordata,Actinopterygii,Beloniformes,Belonidae,,,,,
8L7M,"Ablerus chionaspidis (Howard, 1914)",Ablerus chionaspidis,"(Howard, 1914)",SPECIES,ZOOLOGICAL,ACCEPTED,Ablerus,,chionaspidis,SCIENTIFIC,"<i>Ablerus</i> <i>chionaspidis</i> (Howard, 1914)",EXACT,100,Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Hymenoptera,Apocrita,Azotidae,,,,Ablerus,,Ablerus chionaspidis,CS5HF,N,RT,L2655,H6,HYM,KZPW7,C925T,,,,C8VPZ,,8L7M,FALSE,"Ablerus chionaspidis (Howard, 1914)",Animalia,R16884,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,Terebrantes,Chalcidoidea,,,,,V7HJG,C98NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ablerus chionaspidis,"(Howard, 1914)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Arthropoda,Insecta,Hymenoptera,Aphelinidae,,,,,
8L7P,"Ablerus clisiocampae (Ashmead, 1894)",Ablerus clisiocampae,"(Ashmead, 1894)",SPECIES,,ACCEPTED,Ablerus,,clisiocampae,SCIENTIFIC,"<i>Ablerus</i> <i>clisiocampae</i> (Ashmead, 1894)",EXACT,100,Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Hymenoptera,Apocrita,Azotidae,,,,Ablerus,,Ablerus clisiocampae,CS5HF,N,RT,L2655,H6,HYM,KZPW7,C925T,,,,C8VPZ,,8L7P,FALSE,"Ablerus clisiocampae (Ashmead, 1894)",Animalia,R16885,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,Terebrantes,Chalcidoidea,,,,,V7HJG,C98NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ablerus clisiocampae,"(Ashmead, 1894)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Arthropoda,Insecta,Hymenoptera,Aphelinidae,,,,,
8L8T,"Ablerus perspeciosus Girault, 1916",Ablerus perspeciosus,"Girault, 1916",SPECIES,ZOOLOGICAL,ACCEPTED,Ablerus,,perspeciosus,SCIENTIFIC,"<i>Ablerus</i> <i>perspeciosus</i> Girault, 1916",EXACT,100,Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Hymenoptera,Apocrita,Azotidae,,,,Ablerus,,Ablerus perspeciosus,CS5HF,N,RT,L2655,H6,HYM,KZPW7,C925T,,,,C8VPZ,,8L8T,FALSE,"Ablerus perspeciosus Girault, 1916",Animalia,R00022,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,Terebrantes,Chalcidoidea,,,,,V7HJG,C98NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ablerus perspeciosus,"Girault, 1916",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Arthropoda,Insecta,Hymenoptera,Aphelinidae,,,,,
63ZV8,"Abramis brama (Linnaeus, 1758)",Abramis brama,"(Linnaeus, 1758)",SPECIES,ZOOLOGICAL,ACCEPTED,Abramis,,brama,SCIENTIFIC,"<i>Abramis</i> <i>brama</i> (Linnaeus, 1758)",EXACT,100,Eukaryota,Animalia,Chordata,Vertebrata,Teleostei,Cypriniformes,,Cyprinidae,Leuciscinae,,,Abramis,,Abramis brama,CS5HF,N,CH2,8V4V3,8V4VD,334,,KV2GM,KVGDW,,,KTZ5H,,63ZV8,FALSE,"Abramis brama (Linnaeus, 1758)",Animalia,R00024,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,8V4V5,8VVWB,8VR36,KTWM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abramis brama,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,,,
